服务器id	玩家uid	操作项目	次数	总金币
237	248519611	定向洗练	1	26
237	248531033	定向洗练	7	182
237	248555254	定向洗练	5	130
238	249561089	定向洗练	4	1226
238	249561111	定向洗练	1	104
238	249593235	定向洗练	2	52
239	250609668	定向洗练	1	26
239	250609726	定向洗练	6	84
239	250610199	定向洗练	1	210
239	250610606	定向洗练	1	26
239	250611054	定向洗练	4	104
239	250612192	定向洗练	5	112
239	250612375	定向洗练	8	112
239	250613099	定向洗练	2	52
239	250615824	定向洗练	6	84
239	250619109	定向洗练	4	104
239	250619463	定向洗练	37	518
239	250621420	定向洗练	27	702
239	250624566	定向洗练	74	2548
239	250625032	定向洗练	3	186
239	250629873	定向洗练	1	26
239	250642692	定向洗练	1	14
241	252708032	定向洗练	1	14
241	252708197	定向洗练	3	84
241	252708746	定向洗练	3	42
241	252714666	定向洗练	15	210
241	252718129	定向洗练	9	126
241	252721731	定向洗练	10	140
241	252729992	定向洗练	1	26
241	252736610	定向洗练	3	126
242	253755880	定向洗练	2	52
242	253757471	定向洗练	3	78
244	255885997	定向洗练	2	52
246	257961059	定向洗练	4	104
246	257977298	定向洗练	7	182
248	260048484	定向洗练	1	14
248	260049502	定向洗练	1	26
248	260050720	定向洗练	19	560
248	260061953	定向洗练	4	104
248	260065236	定向洗练	5	130
248	260065810	定向洗练	10	260
248	260069511	定向洗练	1	26
248	260074138	定向洗练	4	56
248	260078021	定向洗练	1	26
248	260078413	定向洗练	7	572
249	261095874	定向洗练	4	104
249	261096630	定向洗练	20	520
250	262144183	定向洗练	39	966
250	262144873	定向洗练	33	1988
250	262146670	定向洗练	3	42
250	262148994	定向洗练	5	70
250	262150709	定向洗练	46	854
250	262154258	定向洗练	8	112
250	262161123	定向洗练	1	14
250	262163786	定向洗练	1	14
250	262164732	定向洗练	2	28
250	262168487	定向洗练	22	308
250	262173890	定向洗练	7	98
250	262177209	定向洗练	2	52
250	262181343	定向洗练	5	70
250	262185244	定向洗练	3	78
251	263193482	定向洗练	8	112
251	263195036	定向洗练	41	574
253	265289783	定向洗练	3	42
253	265289788	定向洗练	1	26
253	265293682	定向洗练	15	210
253	265301418	定向洗练	4	56
254	266338488	定向洗练	35	868
254	266342549	定向洗练	2	52
254	266343648	定向洗练	1	26
254	266358468	定向洗练	2	52
254	266373934	定向洗练	1	26
254	266381492	定向洗练	76	8008
254	266388076	定向洗练	2	208
255	267386888	定向洗练	4	104
255	267386914	定向洗练	1	26
255	267387464	定向洗练	21	534
255	267388987	定向洗练	3	78
257	269484108	定向洗练	1	14
257	269484118	定向洗练	4	104
257	269484128	定向洗练	4	840
257	269484460	定向洗练	3	78
257	269484480	定向洗练	2	52
257	269484846	定向洗练	11	286
257	269484855	定向洗练	18	420
257	269490173	定向洗练	4	56
257	269490192	定向洗练	13	206
257	269491993	定向洗练	3	78
257	269493076	定向洗练	5	70
257	269494470	定向洗练	24	420
257	269495566	定向洗练	1	14
257	269502661	定向洗练	15	390
257	269512405	定向洗练	1	26
257	269514007	定向洗练	4	56
258	270532618	定向洗练	54	1404
258	270536326	定向洗练	48	924
259	271585180	定向洗练	6	156
