服务器id,玩家uid,操作项目,次数,总银币
299,313559639,普通洗练,2,7800
299,313560800,普通洗练,3,11700
299,313560962,普通洗练,67,341900
299,313561124,普通洗练,2,7800
299,313561866,普通洗练,3,11700
299,313561985,普通洗练,25,97500
299,313562555,普通洗练,26,101400
299,313562811,普通洗练,1,3900
299,313562877,普通洗练,12,54600
299,313563056,普通洗练,8,83200
299,313563365,普通洗练,23,89700
299,313563657,普通洗练,5,19500
299,313564394,普通洗练,1,3900
299,313564492,普通洗练,6,23400
299,313564701,普通洗练,43,167700
299,313565216,普通洗练,24,122200
299,313565415,普通洗练,16,62400
299,313565430,普通洗练,1,3900
299,313565850,普通洗练,1,3900
299,313566052,普通洗练,11,42900
299,313566061,普通洗练,2,7800
299,313566131,普通洗练,63,245700
服务器id,玩家uid,操作项目,次数,总银币
298,312475802,普通洗练,20,130000
298,312476818,普通洗练,4,23400
298,312478010,普通洗练,1,3900
298,312480951,普通洗练,10,39000
298,312484326,普通洗练,1,3900
298,312484711,普通洗练,14,54600
服务器id,玩家uid,操作项目,次数,总银币
297,311427089,普通洗练,4,15600
297,311427186,普通洗练,4,15600
297,311427212,普通洗练,12,78000
297,311427216,普通洗练,29,152100
297,311427238,普通洗练,51,323700
297,311427250,普通洗练,3,23400
297,311427255,普通洗练,2,20800
297,311427268,普通洗练,6,39000
297,311427294,普通洗练,1,3900
297,311427297,普通洗练,16,104000
297,311427325,普通洗练,16,98800
297,311427340,普通洗练,7,27300
297,311427374,普通洗练,10,39000
297,311427414,普通洗练,10,65000
297,311427498,普通洗练,13,84500
297,311427531,普通洗练,1,6500
297,311427566,普通洗练,38,150800
297,311427647,普通洗练,60,234000
297,311427681,普通洗练,27,105300
297,311427711,普通洗练,22,127400
297,311427742,普通洗练,7,27300
297,311427765,普通洗练,46,265200
297,311428808,普通洗练,35,136500
297,311428999,普通洗练,41,143500
297,311429499,普通洗练,30,117000
297,311430383,普通洗练,3,11700
297,311430416,普通洗练,7,45500
297,311430563,普通洗练,2,13000
297,311431848,普通洗练,1,6500
297,311432255,普通洗练,48,187200
297,311432667,普通洗练,1,6500
297,311433047,普通洗练,8,31200
297,311433383,普通洗练,29,301600
297,311434067,普通洗练,6,39000
297,311435036,普通洗练,97,646100
297,311435240,普通洗练,8,52000
297,311435335,普通洗练,8,31200
297,311435682,普通洗练,24,93600
297,311435920,普通洗练,23,145600
297,311437271,普通洗练,1,3900
297,311437932,普通洗练,9,27700
297,311438174,普通洗练,12,46800
297,311438901,普通洗练,9,58500
297,311439037,普通洗练,4,15600
297,311439428,普通洗练,26,101400
297,311439541,普通洗练,8,31200
297,311439698,普通洗练,37,240500
297,311440132,普通洗练,28,74200
297,311440448,普通洗练,19,74100
297,311442057,普通洗练,16,104000
297,311442169,普通洗练,1,6500
297,311443047,普通洗练,16,104000
297,311444401,普通洗练,32,208000
297,311444440,普通洗练,29,113100
297,311444527,普通洗练,4,15600
297,311444572,普通洗练,25,97500
297,311445901,普通洗练,6,39000
297,311446048,普通洗练,60,234000
297,311446096,普通洗练,11,61100
297,311446107,普通洗练,19,74100
297,311446419,普通洗练,10,39000
297,311446688,普通洗练,8,52000
297,311447553,普通洗练,13,50700
297,311447904,普通洗练,4,26000
297,311449274,普通洗练,9,35100
297,311449884,普通洗练,58,226200
297,311450650,普通洗练,4,26000
297,311450755,普通洗练,41,159900
297,311451150,普通洗练,7,29900
297,311453182,普通洗练,20,78000
297,311454283,普通洗练,8,31200
297,311455221,普通洗练,3,19500
297,311455679,普通洗练,7,45500
297,311457350,普通洗练,8,44200
297,311457740,普通洗练,4,15600
297,311458583,普通洗练,19,70500
297,311458593,普通洗练,13,53300
297,311458972,普通洗练,43,167700
297,311459438,普通洗练,1,3900
297,311459754,普通洗练,1,2100
服务器id,玩家uid,操作项目,次数,总银币
296,310378512,普通洗练,39,240500
296,310378527,普通洗练,8,41600
296,310378544,普通洗练,66,405300
296,310378582,普通洗练,1,3900
296,310378607,普通洗练,29,113100
296,310378609,普通洗练,8,31200
296,310378647,普通洗练,18,70200
296,310379366,普通洗练,2,7800
296,310379512,普通洗练,23,149500
296,310379513,普通洗练,2,7800
296,310379720,普通洗练,15,97500
296,310379983,普通洗练,14,54600
296,310381582,普通洗练,10,59800
296,310381590,普通洗练,3,11700
296,310382270,普通洗练,8,52000
296,310382747,普通洗练,28,109200
296,310384034,普通洗练,12,35000
296,310385053,普通洗练,2,13000
296,310386010,普通洗练,9,35100
296,310386375,普通洗练,46,205400
296,310388247,普通洗练,5,24700
296,310390457,普通洗练,11,42900
296,310391617,普通洗练,12,46800
296,310393647,普通洗练,16,62400
296,310399042,普通洗练,2,7800
296,310401969,普通洗练,4,18200
296,310403817,普通洗练,4,26000
296,310404775,普通洗练,11,63700
296,310407380,普通洗练,4,26000
296,310408093,普通洗练,1,3900
296,310408113,普通洗练,3,19500
296,310408439,普通洗练,1,6500
296,310409680,普通洗练,27,105300
296,310410845,普通洗练,18,37800
296,310410867,普通洗练,70,353600
296,310411293,普通洗练,5,19500
296,310415280,普通洗练,8,52000
296,310417244,普通洗练,48,187200
296,310419827,普通洗练,2,13000
296,310420471,普通洗练,10,39000
296,310434479,普通洗练,8,31200
296,310439805,普通洗练,44,171600
296,310440325,普通洗练,61,164100
296,310440396,普通洗练,45,175500
服务器id,玩家uid,操作项目,次数,总银币
300,314572825,普通洗练,3,16900
300,314572847,普通洗练,11,55900
300,314572915,普通洗练,9,35100
300,314573402,普通洗练,42,249600
300,314573447,普通洗练,19,74100
300,314573450,普通洗练,14,54600
300,314574634,普通洗练,1,6500
300,314575041,普通洗练,1,10400
300,314575193,普通洗练,10,39000
300,314576230,普通洗练,44,171600
300,314576994,普通洗练,10,65000
300,314577034,普通洗练,16,62400
300,314577414,普通洗练,52,202800
300,314577671,普通洗练,19,74100
300,314579155,普通洗练,44,131600
300,314579445,普通洗练,6,23400
300,314580663,普通洗练,5,48100
300,314581766,普通洗练,1,10400
300,314581982,普通洗练,54,210600
300,314582455,普通洗练,1,3900
300,314583854,普通洗练,8,36400
300,314584459,普通洗练,11,55900
300,314584963,普通洗练,15,74100
300,314585873,普通洗练,6,31200
300,314586081,普通洗练,20,78000
300,314586119,普通洗练,1,3900
300,314586420,普通洗练,10,39000
300,314587509,普通洗练,10,39000
300,314588230,普通洗练,45,175500
300,314588690,普通洗练,25,162500
300,314589064,普通洗练,1,3900
300,314589388,普通洗练,58,226200
300,314589434,普通洗练,62,280800
300,314590711,普通洗练,31,120900
300,314591131,普通洗练,4,15600
300,314591147,普通洗练,57,222300
300,314591521,普通洗练,18,70200
300,314591578,普通洗练,1,3900
300,314591632,普通洗练,11,42900
300,314591655,普通洗练,1,3900
300,314591689,普通洗练,8,16800
300,314591736,普通洗练,3,11700
300,314591737,普通洗练,1,3900
300,314591833,普通洗练,7,27300
300,314591941,普通洗练,42,239200
服务器id,玩家uid,操作项目,次数,总银币
301,315621388,普通洗练,17,130000
301,315621395,普通洗练,10,68900
301,315621405,普通洗练,6,24000
301,315621412,普通洗练,77,308100
301,315621425,普通洗练,24,156000
